行きます。     いきます:去
来ます。     きます:來
帰ります。   かえります:回家 
食べます。     たべます:吃
飲みます。     のみます:喝
見ます。     みます:看
聞きます。     ききます:聽/問
読みます。     よみます:讀
書きます。     かきます:寫
買います。     かいます:買
撮ります。     とります:照相
します。     します:做
勉強します。     べんきょうします:學習
寝ます。     ねます:睡覚
起きます。     おきます:起床
休みます。     やすみます:休息/請假
会います。     あいます:見面
言います。     いいます:説
待ちます。     まちます:等待
持ちます。     もちます:持有/拿
分かります。     わかります:明白
あります。     あります:有(事物/植物)
います。     います:有(人/動物)
送ります。     おくります:寄送
切ります。     きります:切/剪
貸します。     かします:借出
借ります。     かります:借入
教えます。     おしえます:教/告訴

習います。     ならいます:(向人)學習
あげます。     あげます:給予
